identifier,dimension,smiles,bus,elements,ms,nms,mo_formula,csdformula
XEXRUN,2,CN(C)CCN(C)C,[4],"['C', 'O', 'Sn']",['Sn'],"['C', 'O']",Sn2 C6 O12,"(C6 H18 N2 2+)n,n(C6 O12 Sn2 2-),n(H2 O1)"
XEXSAU,2,N=C(N)N,[4],"['C', 'O', 'Sn']",['Sn'],"['C', 'O']",Sn4 C10 O20,"(C1 H6 N3 1+)2n,n(C10 O20 Sn4 2-),2n(H2 O1)"
XIBFUM,0,Cc1ncc[nH]1,[],"['Mo', 'O']",['Mo'],['O'],Mo8 O26,"Mo8 O26 4-,2(C4 H7 N2 1+),2(H3 O1 1+),2(H2 O1)"
XIBGAT,0,N=C(N)CCCC(=N)N,[],"['O', 'V']",['V'],['O'],V10 O28,"O28 V10 6-,3(C5 H14 N4 2+),5.5(H2 O1)"
XICCES,1,NCc1ccc(CN)cc1,[],"['Mo', 'O']",['Mo'],['O'],Mo9 O30,"(C8 H14 N2 2+)3n,n(Mo9 O30 6-),2n(H2 O1)"
XICJUR,3,CNC,[7],"['C', 'Fe', 'Ga', 'O']","['Fe', 'Ga']","['C', 'O']",Ga1 Fe1 H6 C6 O12,"(C6 H6 Fe1 Ga1 O12 1-)n,C2 H8 N1 1+"
XICKEC,3,CCNCC,[7],"['C', 'Fe', 'Ga', 'O']","['Fe', 'Ga']","['C', 'O']",Ga1 Fe1 H6 C6 O12,"(C6 H6 Fe1 Ga1 O12 1-)n,C4 H12 N1 1+"
XICKOM,3,CN,[7],"['C', 'Ga', 'Ni', 'O']","['Ga', 'Ni']","['C', 'O']",Ga1 Ni1 H6 C6 O12,"(C6 H6 Ga1 Ni1 O12 1-)n,C1 H6 N1 1+"
XIFZEU,3,c1cc(CCCc2ccncc2)ccn1,[1],"['Fe', 'Mo', 'O', 'P', 'Pb']","['Fe', 'Mo', 'Pb']","['O', 'P']",Fe2 Mo12 P8 H19 Pb1 O64,"(H19 Fe2 Mo12 O64 P8 Pb1 3-)n,1.5(C13 H16 N2 2+),2(H2 O1)"
XIFZIY,3,c1cc(CCCc2ccncc2)ccn1,[1],"['Mo', 'O', 'P', 'Pb', 'Zn']","['Mo', 'Pb', 'Zn']","['O', 'P']",Zn2 Mo12 P8 H19 Pb1 O64,"(H19 Mo12 O64 P8 Pb1 Zn2 3-)n,1.5(C13 H16 N2 2+),2(H2 O1)"
XIFZOE,3,c1cc(CCCc2ccncc2)ccn1,[1],"['Mn', 'Mo', 'O', 'P', 'Pb']","['Mn', 'Mo', 'Pb']","['O', 'P']",Mn2 Mo12 P8 H19 Pb1 O64,"(H19 Mn2 Mo12 O64 P8 Pb1 3-)n,1.5(C13 H16 N2 2+),3(H2 O1)"
XIGFAU,3,C1CNCCN1,[3],"['F', 'Fe', 'O', 'Se']",['Fe'],"['F', 'O', 'Se']",Fe4 Se4 O12 F6,"(F6 Fe4 O12 Se4 2-)n,n(C4 H12 N2 2+)"
XINBAA,0,Nc1ccccc1,[6],"['As', 'Mo', 'O']",['Mo'],"['As', 'O']",Mo6 As2 H3 O27,"H3 As2 Mo6 O27 5-,5(C6 H8 N1 1+),3(H2 O1)"
XIQHIO,3,NCCN,[1],"['Fe', 'O', 'P']",['Fe'],"['O', 'P']",Fe2 P4 H4 O16,"(C2 H10 N2 2+)n,n(H4 Fe2 O16 P4 2-)"
XIRLER,0,CNC,[],"['Fe', 'Mo', 'O']","['Fe', 'Mo']",['O'],Fe1 Mo6 H6 O24,"H6 Fe1 Mo6 O24 3-,3(C2 H8 N1 1+),H2 O1"
XIRYAZ,1,N=C(N)N,[],"['Cr', 'O', 'U']","['Cr', 'U']",['O'],U1 Cr3 O13,"(Cr3 O13 U1 2-)n,2n(C1 H6 N3 1+),n(H2 O1)"
XISKUF,3,NCCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']",Al4 P4 H2 O18,"(C3 H12 N2 2+)n,n(H2 Al4 O18 P4 2-)"
XISLAM,3,NCCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']",Al4 P4 O17,"(C3 H12 N2 2+)n,n(Al4 O17 P4 2-)"
XISVON,0,c1ccc2[nH]cnc2c1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']",Mo12 P1 O40,"Mo12 O40 P1 3-,3(C7 H7 N2 1+),0.5(C7 H6 N2)"
XISZUU,2,CN1CCN(C)CC1,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']",Ga5 P4 H4 O18 F6,"(C6 H15 N2 1+)n,n(C6 H16 N2 2+),n(H4 F6 Ga5 O18 P4 3-),4n(H2 O1)"
XITZIK,3,c1cc(CCCc2ccncc2)ccn1,"[4, 1]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']",Ga10 P9 H5 C4 O48,"(C13 H16 N2 2+)2n,n(C4 H5 Ga10 O48 P9 4-),3n(H2 O1)"
XIVBIP,0,CCCNCCC,[4],"['C', 'O', 'Sn']",['Sn'],"['C', 'O']",Sn1 C8 O16,"C8 O16 Sn1 4-,4(C6 H16 N1 1+),H2 O1"
XIWKUJ,3,NCCN1CCNCC1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn7 P6 O24,"(C6 H17 N3 2+)2n,n(O24 P6 Zn7 4-)"
XIWLAQ,3,NCCN1CCNCC1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn4 P3 H1 O13,"(C6 H17 N3 2+)n,n(H1 O13 P3 Zn4 2-)"
XIWNAU,0,c1c[nH]cn1,"[3, 8]","['C', 'Mo', 'O', 'Se']",['Mo'],"['C', 'O', 'Se']",Mo6 H11 C6 Se1 O27,"C6 H11 Mo6 O27 Se1 3-,3(C3 H5 N2 1+),8(H2 O1)"
XIWYEH,3,C1CNCCN1,[1],"['O', 'P', 'Ti']",['Ti'],"['O', 'P']",Ti4 P8 H6 O32,"(C4 H12 N2 2+)n,n(H6 O32 P8 Ti4 2-)"
XIWYIL,3,C1CN2CCN1CC2,[1],"['O', 'P', 'Ti']",['Ti'],"['O', 'P']",Ti7 P12 H6 O48,"(C6 H14 N2 2+)n,n(H6 O48 P12 Ti7 2-)"
